term,definition,category
Attention,A mechanism that allows models to focus on relevant parts of the input when producing output. Computes weighted sums of value vectors based on query-key compatibility.,Architecture
Transformer,A neural network architecture based entirely on self-attention mechanisms without recurrence or convolution. Introduced in the 'Attention Is All You Need' paper.,Architecture
Embedding,A dense vector representation of text that captures semantic meaning. Similar texts have similar embeddings in the vector space.,Representation
Cosine Similarity,A metric measuring the cosine of the angle between two vectors. Ranges from -1 to 1 where 1 means identical direction.,Metrics
Vector Database,"A specialized database optimized for storing, indexing, and querying high-dimensional vectors. Examples include ChromaDB, Pinecone, and FAISS.",Infrastructure
HNSW,Hierarchical Navigable Small World. An algorithm for approximate nearest neighbor search that builds a multi-layer graph structure for fast retrieval.,Algorithm
RAG,Retrieval-Augmented Generation. A technique that enhances LLM responses by retrieving relevant documents from an external knowledge base.,Technique
Chunking,The process of splitting documents into smaller pieces for embedding and retrieval. Chunk size is a critical hyperparameter affecting retrieval quality.,Preprocessing
Fine-tuning,The process of continuing to train a pre-trained model on a specific dataset to adapt it for a particular task or domain.,Training
Prompt Engineering,The practice of crafting input prompts to elicit desired behavior from language models. Includes techniques like few-shot examples and chain-of-thought.,Technique
Hallucination,When a language model generates plausible-sounding but factually incorrect or unsupported information.,Failure Mode
Cross-encoder,"A model that takes a pair of texts as input and produces a relevance score. More accurate than bi-encoders but slower, used for re-ranking.",Architecture
Bi-encoder,A model that independently encodes two texts into vectors for comparison. Fast for retrieval but less accurate than cross-encoders.,Architecture
BM25,"A sparse retrieval algorithm based on term frequency and inverse document frequency. Good for keyword matching, often combined with dense retrieval.",Algorithm
HyDE,Hypothetical Document Embeddings. A technique that generates a hypothetical answer to a query and uses its embedding for retrieval instead of the query embedding.,Technique
MMR,Maximal Marginal Relevance. A retrieval strategy that balances relevance and diversity by penalizing chunks similar to already-selected ones.,Algorithm
LCEL,LangChain Expression Language. A declarative syntax for composing LangChain components using the pipe (|) operator.,Framework
Token,"The basic unit of text that language models process. Can be a word,  subword or character depending on the tokenizer.",Preprocessing
Context Window,The maximum number of tokens a language model can process in a single input. Determines how much retrieved context can be included.,Architecture
Temperature,A parameter controlling the randomness of LLM output. Lower values produce more deterministic responses; higher values increase creativity.,Hyperparameter
RAGAS,A framework for evaluating RAG pipelines across dimensions like faithfulness and context precision.,Framework
